s,v,o,label
Ba người,nâng,ly bia trên sân thượng vào buổi tối,1
Nhóm bạn trẻ,cụng,ly bia và cười lớn trong quán bar,1
Người đàn ông,uống,rượu vang đỏ trước logo thương hiệu,1
Ly bia bọt,tràn,trên bàn tiệc khi mọi người cổ vũ,1
Nam thanh niên,rót,bia vào ly giữa đám đông tiệc tùng,1
Hai cô gái,khoác,vai nhau nâng chai bia chụp hình,1
Hình ảnh,mô tả,một bàn đầy chai rượu mạnh và tiếng cười phấn khích,1
Nam MC,nói,uống mỗi ngày để tận hưởng cuộc sống trọn vẹn,1
Người đàn ông,nằm gục,trên bàn với nhiều lon bia rỗng xung quanh,1
Ba người đàn ông,lái xe,cầm lon bia trên tay,1
Cặp đôi,cụng,ly champagne và nháy mắt với máy quay,1
Bạn bè,tụ tập,trên sân thượng và cùng uống rượu vang trắng,1
Logo thương hiệu,hiển thị,chai rượu với khẩu hiệu sống hết mình đêm nay,1
Hai chàng trai,chơi game,và uống bia lon cạnh logo thương hiệu,1
Người phụ nữ,nâng,ly cocktail và nói chạm mốc đỉnh cao,1
Đám đông,nhảy,nhót trong club với tay cầm các chai bia sáng nhãn hiệu rõ ràng,1
Cảnh quay,cho thấy,tiệc hồ bơi với người cầm bia trên tay,1
Nhân vật chính,khuyên,mở bia để giải tỏa stress cuối ngày,1
Logo thương hiệu bia,xuất hiện,cạnh cảnh người vừa uống vừa lái mô tô,1
Người dẫn chương trình,giới thiệu,loại rượu mạnh số một cho đàn ông thực thụ,1
Hai người đàn ông,xô,đẩy và đánh nhau giành sản phẩm khuyến mãi,1
Người đàn ông,tát,bạn mình trong quảng cáo nước hoa để gây hài,1
Hai thanh niên,vật lộn,trên sàn siêu thị trước kệ hàng giảm giá,1
Cảnh quay,cận,một cú đấm vào mặt kèm tiếng hiệu ứng mạnh,1
Người đàn ông,cầm,gậy đe dọa người khác trong khung hình,1
Nhóm thanh niên,rượt đuổi,nhau ngoài đường với thái độ gây hấn,1
Nam chính,đấm,vào tường và la hét để thể hiện sức mạnh thương hiệu,1
Người cha,ném,đồ vật và mắng chửi gia đình để quảng bá dịch vụ,1
Thanh niên,đạp,xe bạt mạng giữa phố để quảng cáo đồ uống năng lượng,1
Hình ảnh,mô tả,hai người đập bể chai thủy tinh rồi cười khoái chí,1
Nhân vật,cầm,dao chặt mạnh xuống thớt với hiệu ứng nguy hiểm,1
Hai đấu sĩ,nắm,cổ áo nhau và gào thét để nhấn mạnh drama,1
Cảnh phá cửa,xông vào,phòng và quăng người xuống ghế để giới thiệu sản phẩm bảo vệ,1
Diễn viên,xô,người khác ngã xuống đất trong đoạn quảng cáo cường điệu,1
Người đàn ông,đập,bàn thật mạnh và chỉ tay dọa nạt đồng nghiệp,1
Hình ảnh,mô tả,đua xe trái phép tốc độ cao giữa đêm,1
Nhân vật,đá,đối thủ trong siêu thị để giành hộp hàng cuối cùng,1
Cảnh quay,chậm,cho thấy nắm đấm máu bắn tung tóe,1
Nhân vật,chĩa,vật nhọn vào camera như đe dọa người xem,1
Hai đứa trẻ,ném,đồ chơi vào nhau và hét ầm ĩ như tình huống hài,0
Cô gái,mặc,bikini đỏ tạo dáng dựa vào thân xe hơi màu đen,1
Người mẫu,nằm,trên giường với ánh đèn mờ và áo ngủ hở vai,1
Cảnh quay,tập trung,vào cơ thể người phụ nữ trong bộ váy cắt xẻ sâu,1
Cô gái,liếm,môi khi cầm chai nước hoa sát cổ,1
Người mẫu,uốn,người dưới ánh đèn club khi cầm lon đồ uống,1
Cảnh quay,cận,phần eo và đùi người mẫu trong đồ bơi hai mảnh,1
Người đàn ông,cởi,trần khoe cơ bụng trong phòng ngủ để bán nước hoa nam,1
Nhân vật nữ,vuốt, vai của nam chính và thì thầm vào tai anh ấy,1
Người mẫu,ngả,người lên mui xe sang tạo dáng quyến rũ,1
