s,v,o,label
Một người đàn ông,quảng cáo,bia lon trong buổi picnic,0
Nhóm sinh viên,say,bia không logo trong buổi picnic,0
Cô gái,cầm,nước ngọt bên bãi biển,0
Nhóm bạn,cụng,nước táo khi xem bóng đá,0
Người,bị đánh,ngã xuống đất trong phòng tối,1
Một người đàn ông,rót,cà phê trong buổi tiệc gia đình,0
Nhóm sinh viên,cầm,rum thương hiệu ABC trong lúc lái ô tô,1
Chàng trai,say,sinh tố dâu trong buổi picnic,0
Nhóm bạn trẻ,nhìn,vodka có logo trước biển hiệu quảng cáo,1
Thanh niên,giơ,rum thương hiệu ABC trong khi leo núi,1
Người phụ nữ,đang cắm,sạc điện thoại,0
Cặp đôi,nhìn,nước ngọt trong buổi tiệc gia đình,0
Cô gái,sơn,móng tay với màu pastel nhẹ,0
Một nhóm thanh niên,rót,nước khoáng ở quán cà phê,0
Chàng trai,ăn,nước lọc khi xem bóng đá,0
Chàng trai,nâng,tequila có logo trên livestream quảng bá,1
Nhóm bạn,giơ,nước táo ở quán cà phê,0
Đôi bạn trẻ,cầm,bia không logo trong phòng khách,0
Một nhóm thanh niên,nhấp,nước táo trong phòng khách,0
Nhóm bạn trẻ,ăn,bourbon thương hiệu lớn trong lúc lái ô tô,1
Một con mèo,nằm,ngủ trên ghế gỗ,0
Cô gái,ngồi,viết thư cảm ơn,0
Cận cảnh,hiển thị,máy ảnh chụp góc rộng quay video 4K,0
Nhóm sinh viên,ăn,whisky trước biển hiệu quảng cáo trong lúc lái ô tô,1
Bạn nữ,đưa,tequila có logo trong lúc lái ô tô,1
Một nhóm thanh niên,mở,nước ép cam khi xem bóng đá,0
Cô gái,uống,rượu gin có thương hiệu trước biển hiệu quảng cáo,1
Bạn nữ,đưa,nước ép dưa hấu trong công viên,0
Anh chàng,uống,nước táo khi xem bóng đá,0
Đôi bạn trẻ,rót,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Một người,nói,nước này giúp trắng da ngay lập tức mà không cần dưỡng,1
Một con mèo,nằm,cuộn tròn trong giỏ,0
Một cậu thanh niên,uống,rượu vang đỏ trước poster thương hiệu trong khi leo núi,1
Ba người bạn,rót,bia nhẹ trong phòng khách,0
Cô nhân viên,nâng,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Anh chàng,đưa,rượu mạnh trong quán bar với poster thương hiệu,1
Anh chàng,mở,bourbon thương hiệu lớn khi điều khiển thuyền,1
Ánh sáng,chiếu,qua khung cửa lớn,0
Nhóm bạn,quảng cáo,nước lọc trước rạp chiếu phim,0
Cô nhân viên,nâng,rượu whisky có thương hiệu trên livestream quảng bá,1
Một cậu thanh niên,cầm,rượu vang đỏ trước poster thương hiệu trong khi leo núi,1
Thanh niên,ăn,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Cặp đôi,uống,cà phê ở quán cà phê,0
Cô gái,nâng,rum thương hiệu ABC trong khi leo núi,1
Ánh sáng đỏ,từ cửa sổ,chiếu vào khuôn mặt hoảng sợ,1
Cô gái,đang mở,laptop ghi chép,0
Thanh niên,nhấp,trà sữa ở quán cà phê,0
Một người đàn ông,mở,sinh tố dâu trước rạp chiếu phim,0
Người phụ nữ,mở,nước ép cam trong phòng khách,0
Một nhóm thanh niên,quảng cáo,bia lon bên bãi biển,0
Thanh niên,uống,vodka trong video quảng bá trên livestream quảng bá,1
Nhóm bạn,cầm,rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Video,giới thiệu,nhà hàng cao cấp với đầu bếp nấu món Âu,0
Thanh niên,cụng,nước ép cam trong công viên,0
Người đàn ông,kiểm tra,áp suất lốp xe,0
Chàng trai,uống,nước chanh trong phòng khách,0
Một cậu thanh niên,mở,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Người mẫu,uốn,lưng tạo dáng bên cửa sổ,1
Cô nhân viên,cầm,trà sữa bên bãi biển,0
Cô gái,ăn,nước ép dưa hấu ở quán cà phê,0
