caption,label
Cảnh quay chậm cận vòng eo người phụ nữ,1
Người đàn ông đạp cửa và xông vào phòng họp,1
Người phụ nữ rót rượu vang đỏ vào ly và mỉm cười,1
Clip quay cảnh gõ chuông và tụng kinh trong cửa hàng,1
Trẻ em chơi cầu trượt ngoài sân trường,0
Cảnh quay vòng eo trần khi giới thiệu kem dưỡng da,1
Nam ca sĩ cầm ly bia khi biểu diễn trên sân khấu,1
Người mẫu liếm môi và áp chai nước hoa lên cổ,1
Nam diễn viên cầm dao trong tay và cười,1
Người phụ nữ liếm môi trong khi giới thiệu nước hoa,1
Nam chính tát bạn diễn trong cảnh hài hước,1
Cảnh quay cận vòng eo và tay cầm sản phẩm,1
Quảng cáo sử dụng cảnh tắm vòi sen nhìn xuyên qua lớp kính mờ,1
Quảng cáo nói thuốc này trị ung thư giai đoạn cuối,1
Nhân viên giao hàng đang đưa gói đồ cho khách,0
Người đầu bếp cắt rau trong bếp,0
Người phụ nữ kéo dây áo xuống khẽ khàng để gây gợi ý,1
Người phụ nữ đập nắp nồi ầm ầm và la hét vào mặt chồng,1
Gia đình ngồi trên sofa xem tivi cùng nhau vào buổi tối,0
Người mẫu nam nằm nghiêng trên giường nhìn camera,1
Cảnh người ném chai nước trúng người qua đường,1
Cảnh quay bàn tiệc đầy bia và tiếng cười nói,1
Cảnh người đuổi đánh nhau trong siêu thị để giành hàng khuyến mãi,1
Người đàn ông làm lễ cúng ban thần tài,1
Quảng cáo chiếu cảnh lễ cúng trong chùa,1
Cảnh người đuổi nhau ngoài phố được quay chậm,1
Hai người chơi vật tay rồi ném bàn khi thua,1
Cô gái đeo balo du lịch và giơ tay chỉ bảng chỉ đường thành phố,0
MC nói đây là cơ hội duy nhất trong đời để giàu có,1
Nhân viên giao hàng trao gói đồ cho khách và cúi đầu cảm ơn,0
Người mẫu nói đây là sản phẩm do NASA phát minh,1
Người mẫu nói đây là cơ hội đổi đời duy nhất,1
Streamer mời khán giả uống bia cùng trên sóng trực tiếp,1
Người phụ nữ nấu canh trong nồi và cười,0
Người phụ nữ tưới cây cảnh trên ban công,0
Cô gái khẳng định viên uống làm trắng da tuyệt đối an toàn cho phụ nữ mang thai mà không cần kiểm chứng,1
Người bán nói sản phẩm được khai mở năng lượng,1
Cảnh quay cận ly bia tràn bọt khi logo thương hiệu xuất hiện,1
Người bán hàng mặc đồ sư cô giới thiệu vật phẩm,1
Clip quay cảnh đốt nhang và cầu nguyện,1
Nam diễn viên đấm mạnh vào gương để thể hiện cảm xúc,1
Cô gái mặc áo hai dây tạo dáng cạnh xe thể thao,1
"Cảnh quay bàn nhậu đầy chai rượu, mọi người hô dô dô dô",1
Người đàn ông đang lái xe hơi mới trên đường quê,0
Nhân vật chính khuyên hãy mở bia này để giải tỏa stress cuối ngày,1
Nam diễn viên hất đồ ăn xuống bàn khi tức giận,1
Khách hàng nhận đơn hàng online,0
MC giới thiệu vòng đá được trì chú từ sư thầy,1
Clip nói thuốc giúp mọc tóc trong 24 giờ,1
Cảnh quay rượt đuổi nhau bằng xe máy trên phố,1
MC nói viên uống đã được NASA chứng nhận chất lượng,1
Người bán nói tượng phật nhỏ mang lại may mắn,1
Người phụ nữ kể đã phát tài nhờ mua vòng đá đỏ,1
Quảng cáo bia hiển thị cảnh tiệc đêm ngoài trời,1
Quảng cáo game sử dụng cảnh đánh nhau bạo lực,1
Người phụ nữ cười gợi cảm trong bồn tắm,1
Cảnh quay chậm tập trung vào phần hông người phụ nữ,1
Cảnh quay nổ lớn khi nhân vật hét lên khẩu hiệu sản phẩm,1
Người đàn ông ném chai nước qua bàn trong cơn tức,1
Gia đình ngồi xem tivi cùng nhau vào buổi tối,0
Nhóm sinh viên ngồi thảo luận bài tập,0
Hai cô gái khoác vai nhau nâng chai bia chụp hình quảng cáo,1
Người mẫu cười khẽ và liếm viền ly rượu,1
Người đàn ông cầm búa đập bàn trong chương trình,1
Người đàn ông đặt tay lên bàn thờ khi quảng bá sản phẩm,1
Trẻ em chơi đùa trong sân trường với bóng bay,0
Người phụ nữ khui champagne giữa đám đông cổ vũ,1
Người dẫn chương trình nói bùa phong thủy này sẽ giúp buôn may bán đắt,1
Khách hàng ngồi nghe tư vấn bảo hiểm sức khỏe,0
Thầy cúng làm lễ cầu tài trong nhà hàng,1
Quảng cáo cho biết uống loại nước này sẽ sống thọ hơn 120 tuổi,1
Người mẫu nam chỉ quấn khăn tắm ngang hông và nhìn thẳng camera,1
Người mẫu nam cởi áo khoác trong ánh sáng yếu,1
Người đàn ông cầu nguyện trước tượng thần tài,1
Quảng cáo mô tả cảnh đập vỡ bàn kính khi tranh cãi,1
Người đàn ông cắt tóc cho khách tại tiệm,0
Người đàn ông đập bàn thật mạnh và chỉ tay dọa nạt đồng nghiệp,1
Hai người đàn ông xô xát trong phòng gym,1
Nam diễn viên uống bia khi lái ô tô,1
Người nông dân tưới vườn rau xanh buổi sớm,0
Người phụ nữ nói uống nước này giúp hạnh phúc mãi mãi,1
Người mẫu nói vòng phong thủy giúp thu hút tiền tài,1
Hai cô gái túm tóc nhau và ngã xuống sàn,1
Người mẹ ôm con nhỏ ngoài công viên,0
Người đàn ông khui bia và nói 'uống cho sảng khoái cuộc đời',1
MC khẳng định đây là cơ hội đổi đời duy nhất,1
Người đàn ông giơ nắm đấm sát mặt người khác để đe dọa,1
Quảng cáo nói uống nước này tăng trí nhớ tức thì,1
Hai người xô xát trong quán cà phê,1
Clip tuyên bố đeo vòng phong thủy này chắc chắn trúng lô đề,1
Người mẫu nữ kéo váy xuống vai và cười,1
Cảnh tiệc cưới với hàng chục ly bia đầy bọt,1
Nhân viên ngân hàng đưa hồ sơ cho khách ký,0
Người đàn ông nói thiết bị này giúp cải thiện trí nhớ tức thì,1
Thầy cúng đang rải gạo và đốt giấy vàng mã,1
Nam diễn viên đạp bàn và hét lớn trong quảng cáo,1
"Thầy cúng gõ trống, gọi hồn và bảo khách hàng sẽ có may mắn lớn",1
Người bán hàng đang sắp xếp kệ sản phẩm,0
Quảng cáo chiếu cảnh khui bia trong lễ hội âm nhạc,1
Người phụ nữ mặc váy bó sát tạo dáng cạnh xe hơi,1
Người dẫn chương trình nói kem này trị mọi bệnh da,1
Người mẫu nữ khẽ cắn môi khi cầm sản phẩm,1
Cô gái cười khẽ khi đứng dưới vòi sen,1
MC nói viên uống này trẻ hóa 20 tuổi chỉ sau 1 tuần,1
Hai thanh niên đang vật lộn trên sàn siêu thị trước kệ hàng giảm giá,1
Gia đình ngồi xem tivi buổi tối,0
Nam diễn viên uống bia khi lái mô tô ngoài phố,1
Gia đình đang xem tivi buổi tối,0
Người bán khẳng định đá năng lượng này sẽ chữa lành bệnh,1
Diễn viên lao vào xô người khác ngã xuống đất trong đoạn quảng cáo cường điệu,1
Người cha ném đồ vật và mắng chửi to tiếng với gia đình để quảng cáo dịch vụ tư vấn,1
Quảng cáo nhấn mạnh rằng tượng thần linh mang lại may mắn tức thì,1
Cặp đôi ôm nhau trên giường khách sạn,1
Người đàn ông uống bia giữa đường phố đông người,1
Đám đông hò hét và khui bia giữa đường phố,1
Người dẫn chương trình nói uống bia này là đàn ông đích thực,1
Người lái xe khách đón hành khách tại bến,0
Người mẫu nữ dang tay ôm cổ bạn nam trong tư thế gần gũi,1
Clip chiếu cảnh cúng ban đêm ngoài nghĩa trang để bán dịch vụ giải hạn,1
Đám đông khui bia và hô 'quẩy hết mình',1
Cảnh hai nhân vật đánh nhau vì món đồ giảm giá,1
Cô gái uống cà phê trong quán buổi sáng,0
Quảng cáo rượu với câu slogan 'Đàn ông bản lĩnh phải uống',1
Nhân viên kỹ thuật kiểm tra điện áp tòa nhà,0
MC nói viên uống này đảm bảo giảm cân 10kg trong một tuần,1
Người mẫu nói loại kem này tốt nhất thế giới,1
Cảnh chiếu cận môi tô son đỏ và đôi mắt khẽ nhắm,1
