text,label
Một nhóm thanh niên nâng nước táo trong buổi picnic,0
Nhóm bạn ăn mojito không cồn bên bãi biển,0
Bạn nữ mở nước ép cam trước rạp chiếu phim,0
Người phụ nữ mở rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Người bán hàng sử dụng cử chỉ nhạy cảm tại cửa hàng tiện lợi,1
Họa sĩ đang pha màu,0
Cận cảnh hiển thị máy hút bụi cầm tay có khả năng hút chất lỏng,0
Anh chàng ăn nước ép dưa hấu trong buổi tiệc gia đình,0
Nhóm sinh viên cầm bia không logo trước rạp chiếu phim,0
Một người đàn ông lạ mặt rủ rê đầu tư lừa đảo ở công viên,1
Thanh niên mua sắm đồ ăn nhanh tại rạp chiếu phim,0
Người phụ nữ rót nước khoáng trước rạp chiếu phim,0
Nhóm bạn nhìn tequila có logo trước biển hiệu quảng cáo,1
Nhóm bạn trẻ đưa whisky trong phòng gym,1
Thanh niên rót trà sữa trong buổi tiệc gia đình,0
Chàng trai giơ nước ngọt trong công viên,0
Nhóm bạn đưa trà sữa bên bãi biển,0
Chàng trai nhấp rượu mạnh trong clip quảng cáo,1
Một người nói thuốc này giúp mọc tóc trong vòng 30 phút,1
Thanh niên rủ rê gậy trong quán bar,1
Người phụ nữ say nước ép cam trong buổi picnic,0
Nhóm bạn trẻ chọn cà phê trên bãi biển,0
Thanh niên trao đổi gậy trong buổi tụ tập,1
Bạn nữ mở nước táo trong phòng khách,0
Bạn nữ mở rum thương hiệu ABC trong lúc lái ô tô,1
Nam thanh niên code trong không gian làm việc mở,0
Cô nhân viên cụng nước khoáng trong công viên,0
Cô gái đưa nước táo trong công viên,0
Cặp đôi say rượu mạnh trên livestream quảng bá,1
Người phụ nữ đi máy tính tại văn phòng,0
Người phụ nữ đọc sách giày thể thao tại trường học,0
Ba người bạn nhìn rượu gin có thương hiệu trên livestream quảng bá,1
Chàng trai say nước táo trước rạp chiếu phim,0
Thanh niên sử dụng hành vi gợi dục ngoài đường,1
Nhóm sinh viên rót nước ép cam trong buổi tiệc gia đình,0
Cô gái thử áo thun in hình,0
Cô nhân viên cầm sinh tố dâu khi xem bóng đá,0
Một cậu thanh niên giơ whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Thanh niên tham quan bánh mì tại văn phòng,0
Thanh niên nâng nước ép cam bên bãi biển,0
Video ghi hình một người dùng máy tính bảng để học vẽ,0
Nhóm bạn quảng cáo whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Anh nhân viên nhìn rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Người phụ nữ cầm nước ép cam trước rạp chiếu phim,0
Nhóm bạn mở nước ép dưa hấu khi đi dã ngoại,0
Người phụ nữ nhìn nước khoáng ở quán cà phê,0
Anh nhân viên nâng nước ngọt trong công viên,0
Ba người bạn đưa vodka trong video quảng bá khi điều khiển thuyền,1
Clip mô tả người đàn ông khóc lóc cầu xin người yêu trong quảng cáo,1
Nhóm bạn trẻ quảng cáo bia nhẹ ở quán cà phê,0
Đám đông khui bia khi xem bóng đá,0
Ca sĩ chọn xì gà trong buổi picnic,1
Người phụ nữ đưa rum thương hiệu ABC trong khi leo núi,1
Nhóm bạn trẻ mở mojito không cồn trước rạp chiếu phim,0
Bạn nữ ăn bia lon trước rạp chiếu phim,0
Một người đàn ông cụng nước chanh trong buổi picnic,0
Nhóm sinh viên mở nước táo trong buổi tiệc gia đình,0
Anh chàng mở nước ép cam trong công viên,0
Học sinh la hét trang cá cược trên livestream,1
Một người đàn ông đưa bia không logo trong buổi tiệc gia đình,0
Một nhóm thanh niên cầm bia khi leo núi,0
Em bé uống ô tô điện tại siêu thị,0
Một nhóm thanh niên nhìn whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Người đàn ông ăn trà sữa trong buổi tiệc gia đình,0
Nhóm bạn trẻ nhìn rượu mạnh khi điều khiển thuyền,1
Cô gái đưa rượu vang đỏ trước poster thương hiệu trên livestream quảng bá,1
Người phụ nữ đưa nước chanh trong phòng khách,0
Anh chàng trải nghiệm tequila trên bãi biển,1
Một người đàn ông quảng cáo trà sữa trong phòng khách,0
Một người đàn ông nhấp bia nhẹ trong công viên,0
Nhóm bạn trẻ trải nghiệm soju tại cửa hàng tiện lợi,1
Cô nhân viên nhìn vodka có logo trước biển hiệu quảng cáo,1
Ba người bạn đưa rượu mạnh trong lúc lái ô tô,1
Học sinh cầm dự án ảo ngoài đường,1
Nhóm sinh viên say rượu vang đỏ trước poster thương hiệu trong lúc lái ô tô,1
Cô nhân viên đưa nước khoáng khi xem bóng đá,0
Nhóm bạn nâng bia không logo bên bãi biển,0
Cô nhân viên cầm trà sữa trước rạp chiếu phim,0
Người đàn ông chia sẻ gậy khi lái xe,1
Chàng trai quảng cáo bia nhẹ trong buổi picnic,0
Một nhóm thanh niên ăn rượu mạnh trong quán bar với poster thương hiệu,1
Nhóm bạn nâng sinh tố dâu trong buổi picnic,0
Người phụ nữ quảng cáo nước ngọt khi đi dã ngoại,0
Anh nhân viên quảng cáo bia lon bên bãi biển,0
Chàng trai cụng rượu mạnh trên livestream quảng bá,1
Chàng trai đưa nước ép cam trong công viên,0
Nhóm bạn trẻ rót vodka trong video quảng bá trong khi leo núi,1
Ba người bạn đưa nước táo ở quán cà phê,0
Nhóm bạn trẻ say rượu whisky có thương hiệu trong lúc lái ô tô,1
Một cậu thanh niên rót nước chanh trong phòng khách,0
Anh chàng đe dọa chiêu lừa đảo trong giờ học,1
Cô gái mở nước ngọt khi đi dã ngoại,0
Chàng trai rót whisky trước biển hiệu quảng cáo trong lúc lái ô tô,1
Người đàn ông say sinh tố dâu bên bãi biển,0
Anh chàng say nước ép dưa hấu trong phòng khách,0
Bàn tay đang mở túi trà khô,0
Người bán hàng cầm chiêu lừa đảo trên livestream,1
Một cậu thanh niên nhìn tequila có logo trước biển hiệu quảng cáo,1
Khách du lịch đi dạo bánh mì ở công viên,0
Nhóm bạn trẻ đưa nước táo khi xem bóng đá,0
Một người nói thuốc bôi này chữa khỏi đau khớp tức thì,1
Một người đàn ông ăn nước khoáng trước rạp chiếu phim,0
Một người đàn ông cụng bia lon trong buổi tiệc gia đình,0
Anh chàng giơ bia nhẹ bên bãi biển,0
Nhóm bạn trẻ cầm nước khoáng bên bãi biển,0
Một nhóm thanh niên ăn sinh tố dâu trước rạp chiếu phim,0
Ca sĩ uống bột giặt trong quán bar với poster thương hiệu,0
Cô gái quảng cáo bia lon trong công viên,0
Nhân viên văn phòng sử dụng cần sa trên mạng xã hội,1
Khách du lịch cãi nhau dự án ảo khi quay video quảng cáo,1
Nhóm bạn trẻ say bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Anh chàng nâng rượu whisky có thương hiệu trong clip quảng cáo,1
Anh chàng nâng nước khoáng trong buổi picnic,0
Anh nhân viên mở rum thương hiệu ABC trong lúc lái ô tô,1
Người lái xe tập thể dục ba lô tại trường học,0
Nhóm sinh viên nhìn nước táo ở quán cà phê,0
Người đàn ông quảng cáo nước lọc trong buổi tiệc gia đình,0
Cận cảnh hiển thị máy làm tóc uốn lọn nhỏ tự động xoay,0
Một người nói thuốc này được NASA công nhận có thể chữa ung thư,1
Ba người bạn ăn nước ép dưa hấu khi xem bóng đá,0
Người bán hàng đọc sách đồ ăn nhanh trên bãi biển,0
Cặp đôi quảng cáo bourbon thương hiệu lớn trong clip quảng cáo,1
Ca sĩ đưa máy giặt ở lễ hội âm nhạc,0
Người bị đâm máu bắn ra,1
Một nhóm thanh niên nhìn sinh tố dâu trong buổi picnic,0
Người bán hàng đọc sách máy tính ở công viên,0
Một nhóm thanh niên uống rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Một cậu thanh niên uống rượu vang đỏ trước poster thương hiệu trong khi leo núi,1
Ba người bạn nâng rượu mạnh trước biển hiệu quảng cáo,1
Ba người bạn sử dụng rượu mạnh khi leo núi,1
Anh chàng mua chiêu lừa đảo trên livestream,1
Bạn nữ nâng rum thương hiệu ABC trước biển hiệu quảng cáo,1
Nam sinh đọc sách trong thư viện với ánh sáng vàng dịu,0
Chàng trai nâng nước ngọt trong phòng khách,0
Một người đàn ông ăn cà phê ở quán cà phê,0
Người bị xô vào cột điện,1
Người đàn ông ăn vodka có logo trong khi leo núi,1
Đôi bạn trẻ đưa nước táo trong công viên,0
Người lái xe tập thể dục máy tính tại văn phòng,0
Người đàn ông cầm nước ngọt trong buổi tiệc gia đình,0
Bạn nữ uống whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Người phụ nữ cầm bia lon trước rạp chiếu phim,0
Anh chàng sử dụng cử chỉ nhạy cảm trong buổi tụ tập,1
Thanh niên chụp ảnh điện thoại trên bãi biển,0
Thanh niên ăn vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Một cậu thanh niên say mojito không cồn trước rạp chiếu phim,0
Bạn nữ giơ trà sữa khi đi dã ngoại,0
Người phụ nữ cầm kem chống nắng trong phòng gym,0
Học sinh rủ rê dao tại khu chung cư,1
Người bị đâm trong ngực bằng dao,1
Một cậu thanh niên sử dụng thuốc lá trên bãi biển,1
Ba người bạn đưa rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Cặp đôi nâng bia không logo ở quán cà phê,0
Một dòng chữ “đăng ký để nhận quà” hiện lên,1
Ba người bạn nhìn sinh tố dâu trước rạp chiếu phim,0
Người mẫu ăn cà phê trên livestream quảng bá,0
Anh nhân viên quảng cáo tequila có logo trong quán bar với poster thương hiệu,1
Video lồng tiếng tiếng rên rỉ của đàn ông,1
Một cậu thanh niên đưa bia nhẹ trong buổi picnic,0
Người mẫu cởi áo khoe vai trong ánh đèn vàng,1
Nhóm sinh viên đưa trà sữa trong phòng khách,0
Người phụ nữ tấn công ma túy đá ở công viên,1
Sinh viên cãi nhau trang cá cược trong buổi tụ tập,1
Người bán hàng quảng cáo xổ số lậu tại cửa hàng tiện lợi,1
Nhóm bạn giơ nước táo bên bãi biển,0
Nhóm thanh niên quảng cáo dao tại cửa hàng tiện lợi,1
Thanh niên nhìn nước ép cam trước rạp chiếu phim,0
Người đàn ông nhìn rượu vang ở quán cà phê,1
Chàng trai rót nước ép dưa hấu trong phòng khách,0
Ông bố sử dụng vodka trên bãi biển,1
Cặp đôi cầm mojito không cồn khi đi dã ngoại,0
Ba người bạn mở rượu gin có thương hiệu trên livestream quảng bá,1
Anh nhân viên nhìn sinh tố dâu trong buổi picnic,0
Nhóm bạn rót mojito không cồn trước rạp chiếu phim,0
Đôi bạn trẻ giơ tequila có logo khi điều khiển thuyền,1
Bạn nữ ăn nước ép cam trong buổi picnic,0
Cô gái viết nhật ký,0
Cô gái nhìn whisky trước biển hiệu quảng cáo trên livestream quảng bá,1
Một cậu thanh niên nâng tequila có logo trước biển hiệu quảng cáo,1
Ba người bạn mở sinh tố dâu ở quán cà phê,0
Cô gái đọc sách đồ ăn nhanh tại rạp chiếu phim,0
Một người nói nước này giúp trẻ hóa toàn thân,1
Một nhóm thanh niên nhấp nước táo khi đi dã ngoại,0
