"description","label"
"bia đang được rót vào ly","0"
"người đàn ông rót bia vào cốc trên bàn","0"
"mọi người nâng ly chúc mừng","0"
"cô gái đang đứng cạnh quầy bar","0"
"váy cô gái bị gió thổi bay lên","1"
"người đàn ông kéo váy của cô gái","1"
"hành động thân mật quá mức nơi công cộng","1"
"đám đông ẩu đả ngoài đường","1"
"người cầm dao đe dọa người khác","1"
"hai người ôm hôn thắm thiết ở nơi công cộng","1"
"cận cảnh bọt bia sủi tăm trong ly","0"
"gia đình đang ăn tối và cười đùa","0"
"người mẫu thoa kem dưỡng da lên má","0"
"cận cảnh sản phẩm công nghệ xoay 360 độ","0"
"ô tô lướt đi trên đường ven biển","0"
"cận cảnh logo thương hiệu","0"
"người dùng mở hộp điện thoại mới","0"
"nhóm bạn trẻ nhảy múa trên phố","0"
"vận động viên uống nước tăng lực","0"
"đầu bếp nếm thử món ăn","0"
"cận cảnh bánh hamburger kẹp phô mai","0"
"ống kính tập trung vào khe ngực của người mẫu","1"
"người mẫu mặc bikini tạo dáng gợi dục","1"
"cảnh quan hệ tình dục được mô phỏng","1"
"cảnh sử dụng ma túy hoặc kim tiêm","1"
"hình ảnh tai nạn giao thông có máu me","1"
"cận cảnh vết thương hở hoặc phẫu thuật","1"
"cam kết chữa khỏi bệnh ung thư","1"
"lời hứa làm giàu nhanh chóng không cần nỗ lực","1"
"nút Play giả trên hình ảnh quảng cáo","1"
"người mẫu cởi đồ (ngụ ý khỏa thân)","1"
"cảnh bắn súng vào người khác","1"
"hành động tra tấn hoặc bạo hành động vật","1"
"quảng cáo thuốc lá hoặc vape","1"
"cận cảnh mụn mủ hoặc bệnh ngoài da gây sốc","1"
"chú chó con đang chơi với cuộn len","0"
"người đàn ông đeo tai nghe và gật gù theo nhạc","0"
"cận cảnh giọt nước rơi trên lá","0"
"màn hình ứng dụng ngân hàng hiển thị biểu đồ tăng trưởng","0"
"em bé đang ngủ trong nôi","0"
"cảnh quay flycam một thành phố","0"
"cô gái đang tưới cây","0"
"người giao hàng trao gói hàng cho khách","0"
"hình ảnh so sánh trước và sau phi thực tế về giảm cân","1"
"cảnh quay lén dưới váy (upskirting)","1"
"nội dung bạo lực cực đoanchém giết","1"
"ngôn từ thù hậnphân biệt chủng tộc","1"
"người mẫu khỏa thân hoàn toàn (dù đã làm mờ)","1"
"quảng cáo tiền ảo lừa đảo (scam)","1"
"sử dụng hình ảnh người nổi tiếng giả mạo để quảng cáo","1"
"mô phỏng hành vi cờ bạc (quay slot machine)","1"
"cận cảnh bánh quy được nhúng vào sữa","0"
"người đàn ông đang cạo râu","0"
"cô gái gội đầu dưới vòi hoa sen (chỉ thấy vai và tóc)","0"
"người nông dân thu hoạch cà phê","0"
"cặp đôi già nắm tay nhau đi dạo","0"
"cảnh quay chậm giọt sô cô la tan chảy","0"
"người dùng vuốt màn hình ứng dụng hẹn hò","0"
"cận cảnh nhân vật trong game (hoạt hình)","0"
"cô gái ngửi mùi hương nước hoa trên cổ tay","0"
"người đàn ông đang xem biểu đồ chứng khoán trên máy tính bảng","0"
"cảnh quay time-lapse một công trường xây dựng","0"
"người mẫu sải bước trên sàn diễn thời trang","0"
"cận cảnh bọt xà phòng trên tay khi rửa","0"
"cảnh quay từ trên cao (drone) một khu nghỉ dưỡng","0"
"đoàn tàu lướt qua vùng nông thôn","0"
"hai đứa trẻ đang chia sẻ bánh quy","0"
"giáo viên đang giảng bài trực tuyến qua laptop","0"
"người đàn ông đang dắt chó đi dạo trong công viên","0"
"cô gái đeo kính VR và tỏ ra ngạc nhiên","0"
"cận cảnh giọt mực rơi vào nước","0"
"cận cảnh một chiếc đồng hồ đeo tay sang trọng","0"
"người mẫu mặc nội y tạo dáng khiêu dâm","1"
"sử dụng hình ảnh deepfake của người nổi tiếng để quảng cáo","1"
"cam kết tăng kích thước một bộ phận cơ thể","1"
"video quảng cáo game có cảnh tra tấn","1"
"cận cảnh hình ảnh vi khuẩnvirus gây sợ hãi","1"
"mô phỏng một vụ bắt cóc hoặc tấn công","1"
"lời hứa trúng xổ số hoặc làm giàu siêu tốc","1"
"hình ảnh trước và sau được photoshop quá đà","1"
"cảnh quay người đang lén lút (quay trộm)","1"
